iter	Passed	Remaining
400	29964	44760
401	30041	44688
402	30122	44623
403	30223	44587
404	30316	44539
405	30420	44506
406	30545	44504
407	30630	44444
408	30686	44340
409	30774	44285
410	30893	44273
411	30996	44237
412	31116	44225
413	31215	44184
414	31298	44119
415	31397	44076
416	31476	44006
417	31551	43930
418	31648	43885
419	31715	43797
420	31783	43712
421	31912	43709
422	31990	43636
423	32082	43584
424	32165	43518
425	32242	43444
426	32324	43377
427	32435	43348
428	32520	43285
429	32600	43214
430	32689	43155
431	32767	43083
432	32875	43049
433	32982	43014
434	33059	42939
435	33118	42840
436	33189	42759
437	33282	42704
438	33363	42635
439	33471	42600
440	33547	42524
441	33624	42449
442	33705	42378
443	33778	42299
444	33864	42235
445	33924	42139
446	34014	42080
447	34096	42011
448	34177	41941
449	34276	41893
450	34374	41844
451	34473	41795
452	34564	41737
453	34653	41675
454	34702	41567
455	34785	41498
456	34880	41444
457	35000	41420
458	35079	41346
459	35168	41285
460	35267	41234
461	35355	41171
462	35448	41114
463	35556	41073
464	35661	41029
465	35749	40966
466	35836	40901
467	35922	40834
468	36036	40799
469	36118	40729
470	36207	40665
471	36305	40612
472	36389	40543
473	36473	40474
474	36633	40490
475	36717	40419
476	36788	40335
477	36894	40290
478	36980	40222
479	37101	40193
480	37184	40121
481	37281	40066
482	37377	40008
483	37474	39952
484	37535	39857
485	37642	39810
486	37708	39721
487	37788	39647
488	37882	39587
489	37978	39528
490	38075	39471
491	38164	39405
492	38257	39344
493	38344	39276
494	38437	39214
495	38538	39160
496	38637	39104
497	38752	39063
498	38836	38991
499	38908	38908
500	38998	38842
501	39090	38779
502	39208	38740
503	39325	38700
504	39422	38641
505	39510	38573
506	39602	38509
507	39734	38483
508	39814	38406
509	39923	38357
510	40019	38296
511	40120	38239
512	40239	38199
513	40349	38151
514	40425	38071
515	40513	38000
516	40613	37942
517	40698	37870
518	40806	37818
519	40889	37744
520	40965	37662
521	41058	37597
522	41135	37517
523	41253	37474
524	41341	37403
525	41425	37330
526	41518	37263
527	41601	37189
528	41687	37116
529	41801	37068
530	41893	37001
531	42001	36949
532	42090	36878
533	42174	36804
534	42297	36763
535	42388	36694
536	42474	36621
537	42572	36558
538	42645	36474
539	42698	36372
540	42813	36324
541	42928	36275
542	43014	36201
543	43100	36128
544	43188	36056
545	43305	36008
546	43403	35944
547	43483	35865
548	43574	35796
549	43691	35747
550	43780	35675
551	43884	35616
552	43986	35555
553	44065	35475
554	44144	35394
555	44213	35306
556	44332	35259
557	44409	35177
558	44499	35106
559	44588	35033
560	44679	34963
561	44772	34893
562	44889	34843
563	44993	34782
564	45079	34707
565	45170	34636
566	45262	34565
567	45370	34507
568	45460	34435
569	45562	34371
570	45659	34304
571	45758	34238
572	45845	34164
573	45964	34112
574	46047	34035
575	46135	33961
576	46212	33878
577	46277	33787
578	46376	33721
579	46465	33647
580	46557	33575
581	46634	33493
582	46721	33418
583	46812	33345
584	46899	33270
585	47021	33219
586	47117	33150
587	47187	33063
588	47266	32982
589	47361	32912
590	47474	32854
591	47568	32783
592	47653	32706
593	47729	32623
594	47839	32563
595	47884	32458
596	47976	32386
597	48072	32316
598	48153	32236
599	48249	32166
600	48342	32094
601	48465	32041
602	48565	31974
603	48644	31892
604	48741	31822
605	48812	31736
606	48904	31663
607	48990	31586
608	49104	31526
609	49177	31441
610	49256	31359
611	49321	31269
612	49406	31191
613	49539	31143
614	49682	31102
615	49782	31033
616	49867	30954
617	49964	30884
618	50083	30827
619	50162	30744
620	50258	30672
621	50303	30570
622	50384	30489
623	50468	30410
624	50600	30360
625	50663	30268
626	50754	30193
627	50839	30115
628	50927	30038
629	51002	29954
630	51087	29875
631	51188	29805
632	51289	29736
633	51364	29651
634	51450	29573
635	51553	29505
636	51649	29432
637	51743	29358
638	51833	29282
639	51925	29208
640	52003	29125
641	52075	29039
642	52185	28974
643	52260	28889
644	52345	28810
645	52404	28717
646	52476	28630
647	52572	28557
648	52672	28486
649	52744	28400
650	52823	28318
651	52899	28234
652	52988	28157
653	53079	28082
654	53187	28014
655	53280	27939
656	53360	27857
657	53472	27792
658	53582	27726
659	53720	27674
660	53821	27602
661	53904	27522
662	53991	27443
663	54074	27363
664	54155	27281
665	54253	27208
666	54333	27126
667	54430	27052
668	54520	26975
669	54600	26892
670	54728	26834
671	54819	26757
672	54940	26694
673	55027	26615
674	55091	26525
675	55262	26486
676	55350	26408
677	55425	26323
678	55500	26237
679	55594	26162
680	55639	26063
681	55778	26007
682	55874	25933
683	55968	25856
684	56053	25776
685	56147	25700
686	56203	25606
687	56235	25502
688	56341	25431
689	56422	25349
690	56513	25271
691	56565	25176
692	56642	25092
693	56697	24999
694	56816	24933
695	56918	24861
696	56996	24777
697	57087	24699
698	57165	24616
699	57263	24541
700	57373	24471
701	57459	24391
702	57577	24325
703	57665	24245
704	57756	24167
705	57872	24099
706	57952	24017
707	58035	23935
708	58134	23860
709	58211	23776
710	58294	23694
711	58406	23625
712	58494	23545
713	58585	23467
714	58674	23387
715	58775	23313
716	58904	23249
717	58953	23154
718	59043	23075
719	59140	22999
720	59230	22919
721	59313	22838
722	59391	22754
723	59499	22682
724	59581	22599
725	59670	22520
726	59741	22433
727	59828	22353
728	59949	22285
729	59995	22189
730	60095	22114
731	60194	22038
732	60282	21958
733	60381	21882
734	60432	21788
735	60553	21720
736	60621	21632
737	60716	21555
738	60783	21467
739	60868	21386
740	60962	21307
741	61059	21231
742	61157	21154
743	61254	21076
744	61380	21009
745	61463	20927
746	61527	20838
747	61627	20762
748	61729	20686
749	61808	20602
750	61885	20518
751	62022	20454
752	62111	20373
753	62158	20279
754	62241	20197
755	62327	20116
756	62408	20033
757	62480	19947
758	62628	19885
759	62714	19804
760	62785	19718
761	62870	19636
762	62984	19564
763	63097	19490
764	63182	19408
765	63252	19322
766	63333	19239
767	63413	19156
768	63516	19079
769	63627	19005
770	63713	18924
771	63794	18840
772	63890	18762
773	63979	18681
774	64090	18606
775	64183	18527
776	64268	18445
777	64348	18361
778	64436	18280
779	64508	18194
780	64587	18111
781	64722	18042
782	64787	17955
783	64855	17868
784	64939	17786
785	65043	17709
786	65120	17624
787	65243	17552
788	65307	17465
789	65410	17387
790	65492	17304
791	65580	17223
792	65661	17139
793	65765	17062
794	65869	16985
795	65966	16905
796	66053	16824
797	66139	16742
798	66243	16664
799	66344	16586
800	66430	16503
801	66518	16422
802	66603	16339
803	66681	16255
804	66761	16171
805	66879	16097
806	66959	16013
807	67045	15931
808	67127	15848
809	67217	15767
810	67332	15691
811	67409	15607
812	67476	15520
813	67568	15439
814	67651	15356
815	67688	15263
816	67767	15179
817	67899	15107
818	67963	15020
819	68049	14937
820	68127	14853
821	68200	14768
822	68303	14689
823	68413	14612
824	68515	14533
825	68601	14451
826	68699	14371
827	68791	14290
828	68904	14213
829	68995	14131
830	69069	14046
831	69152	13963
832	69234	13880
833	69345	13802
834	69449	13723
835	69531	13640
836	69616	13557
837	69666	13467
