iter	Logloss
0	0.6568384825
1	0.6231023309
2	0.5919096315
3	0.5629664753
4	0.5359879691
5	0.5118171619
6	0.48869924
7	0.468226022
8	0.449365362
9	0.4318384314
10	0.4155632341
11	0.4000550835
12	0.3859172548
13	0.373482633
14	0.3617706441
15	0.3509443169
16	0.3402170956
17	0.3304385016
18	0.3216437194
19	0.3134348442
20	0.3044093311
21	0.2980989089
22	0.2922629431
23	0.285844163
24	0.2791440545
25	0.2732948342
26	0.267425866
27	0.2619372031
28	0.2584534712
29	0.2539890249
30	0.2487619492
31	0.2440544158
32	0.2396097473
33	0.2355075568
34	0.231394424
35	0.2282411478
36	0.2245660875
37	0.2213170721
38	0.2186396776
39	0.2158662742
40	0.213430484
41	0.2110039979
42	0.2085885117
43	0.2061992234
44	0.2042185959
45	0.202073049
46	0.2003443463
47	0.1988348622
48	0.197162318
49	0.1956469295
50	0.1941023593
51	0.192689855
52	0.1911996278
53	0.1899663093
54	0.1888096619
55	0.1878590232
56	0.1870811603
57	0.186382939
58	0.1854818851
59	0.1847779891
60	0.1841381929
61	0.1833969023
62	0.1826610482
63	0.1818282379
64	0.1813447934
65	0.1808413959
66	0.1801775706
67	0.1796832636
68	0.1790109376
69	0.1784766193
70	0.1780643769
71	0.1777161487
72	0.1771761199
73	0.1768041543
74	0.1763431032
75	0.1757914997
76	0.175434932
77	0.1749928466
78	0.174605323
79	0.1744316635
80	0.1741200299
81	0.1739529818
82	0.1736927011
83	0.1733894228
84	0.1730891383
85	0.1727675614
86	0.1725273069
87	0.1721742124
88	0.1718424499
89	0.1714505276
90	0.1711818982
91	0.1708543838
92	0.1706151977
93	0.1704141168
94	0.1701916442
95	0.1699455349
96	0.1697428449
97	0.1694819697
98	0.1692120125
99	0.1690127283
100	0.1687855322
101	0.168602835
102	0.1683646822
103	0.1680319513
104	0.1677095806
105	0.1672707646
106	0.1668953387
107	0.1665296625
108	0.1662886279
109	0.1661926031
110	0.1658914633
111	0.1658555751
112	0.1656476539
113	0.1655290469
114	0.1652975801
115	0.1652177728
116	0.1650848535
117	0.1649616641
118	0.164761783
119	0.1645254247
120	0.1643633939
121	0.1643151933
122	0.1642607751
123	0.164133929
124	0.1640497485
125	0.1639025618
126	0.1637719668
127	0.1635959361
128	0.1634311859
129	0.163312429
130	0.1632542321
131	0.1631060001
132	0.163090658
133	0.1629856445
134	0.1628865906
135	0.1628230505
136	0.1627607168
137	0.1627296459
138	0.1627284863
139	0.1625622952
140	0.1625377444
141	0.1623771744
142	0.1623024047
143	0.162166263
144	0.1620063379
145	0.1619792907
146	0.1619703718
147	0.1618268001
148	0.1618256379
149	0.1617956089
150	0.1617347172
151	0.1616458634
152	0.1615734665
153	0.161450828
